TP9,AF7,AF8,TP10
766.113,138.672,128.418,161.133
-828.613,971.191,-997.559,973.145
767.09,-778.809,-787.109,-788.574
59.57,907.715,918.945,832.52
-680.664,-189.941,-183.594,-183.105
-1000.0,-545.41,-567.383,-617.676
-1000.0,-1000.0,-1000.0,-1000.0
-953.613,-1000.0,-1000.0,-1000.0
-113.77,-894.043,-964.355,-884.766
491.211,137.695,28.32,127.93
-917.48,633.301,541.504,586.914
-976.074,-780.762,-816.895,-790.527
203.613,-953.125,-981.934,-972.168
-490.723,91.797,416.504,112.793
920.898,499.023,569.824,489.746
996.094,-973.145,-999.512,977.051
630.371,-843.75,-833.496,-850.098
-102.539,573.242,588.867,603.516
-644.531,-108.398,58.105,137.207
-1000.0,-839.844,-841.797,-820.801
-1000.0,-1000.0,-1000.0,-1000.0
-742.188,-1000.0,-1000.0,-1000.0
-207.031,-563.477,-630.371,-595.703
797.363,56.152,3.418,0.488
-881.836,871.094,818.359,882.812
841.797,-802.734,-818.848,-802.734
-110.352,782.715,865.723,756.348
-709.961,308.594,307.617,201.66
-1000.0,-812.012,-805.176,-792.48
-1000.0,-1000.0,-1000.0,-1000.0
-850.098,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-681.641,-1000.0,-938.477,-1000.0
223.145,-565.918,-528.809,-549.805
841.309,493.164,507.812,406.25
-929.688,-960.938,-997.07,-998.535
690.43,-846.191,-834.961,-848.145
-104.98,572.266,584.961,634.766
-761.23,-34.18,24.414,2.93
-1000.0,-836.426,-845.215,-830.078
-1000.0,-1000.0,-1000.0,-1000.0
-773.438,-1000.0,-1000.0,-1000.0
-231.934,-565.43,-611.328,-635.742
817.383,198.73,272.949,-140.625
-880.859,898.438,862.305,856.934
858.887,-800.293,-814.453,-813.965
193.848,778.809,809.57,868.164
-546.875,328.613,284.668,375.977
-1000.0,-798.34,-794.434,-715.82
-1000.0,-1000.0,-1000.0,-1000.0
-915.039,-1000.0,-1000.0,-1000.0
-480.957,-700.195,-762.207,-781.25
527.344,-345.215,-472.656,-435.059
-962.402,777.832,674.805,756.836
889.16,-842.773,-896.484,-882.324
403.32,979.492,-947.754,922.363
-399.414,480.469,494.141,474.609
-836.426,-637.207,-425.293,-327.637
-1000.0,-633.789,-592.285,-507.812
-1000.0,-1000.0,-1000.0,-1000.0
-629.883,-985.84,-906.25,-1000.0
137.695,-578.613,-548.34,-570.312
917.48,552.246,595.215,424.316
-916.504,-986.816,989.746,976.562
730.469,-830.566,-830.566,-832.031
544.434,-338.379,-458.008,-411.621
-968.75,791.992,702.148,731.934
919.434,-839.844,-878.906,-894.043
474.121,962.402,-934.082,956.543
-185.059,476.562,487.305,514.16
-854.492,-583.984,-267.578,-218.75
-1000.0,-904.297,-852.539,-877.441
