id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,xcoord,ycoord
,"0","0","0","0",0.00000000000000,246.33052888335271,8271175.48008442,3712951.82890914
,"1","0","0","1",38367.46444866994716,155.54811910952029,8251610.99184202,3679947.38787414
,"2","0","0","2",64661.69988046403887,62.60630795997558,8277470.14151893,3675183.86030208
,"3","0","0","3",101199.20099123469845,333.38871773380799,8292781.48014341,3708358.4273218
,"4","0","0","4",123288.08001874593901,246.33052888335271,8271175.48008442,3712951.82890914
