5668983.00000000,-73.97531446,40.72654456
5668983.00000000,-73.97578502,40.72591994
5668983.00000000,-73.97621208,40.72532599
5668997.00000000,-73.99384501,40.72603494
5668997.00000000,-73.99440307,40.72626292
5668997.00000000,-73.99503004,40.72657993
5669004.00000000,-73.98593886,40.77125304
5669004.00000000,-73.98600323,40.77136997
5669004.00000000,-73.98656348,40.77160894
5669004.00000000,-73.98669742,40.77166543
5669013.00000000,-74.01580853,40.71156534
5669013.00000000,-74.01563586,40.71150080
5669013.00000000,-74.01477093,40.71117709
5669013.00000000,-74.01464571,40.71113015
5668973.00000000,-73.93133261,40.85930267
5668973.00000000,-73.93114711,40.85918055
5669077.00000000,-73.97446663,40.73724439
5669077.00000000,-73.97415307,40.73745863
5669067.00000000,-73.92914040,40.79741774
5669067.00000000,-73.92920788,40.79778730
