timestamps,TP9,AF7,AF8,TP10
1669629535.254,-353.516,-4.883,53.223,-94.238
1669629535.258,996.582,-778.809,-792.480,-800.781
1669629535.262,746.094,211.426,208.984,298.828
1669629535.266,-590.332,-999.512,-996.094,-971.680
1669629535.270,-1000.000,-1000.000,-1000.000,-1000.000
1669629535.274,-508.301,-197.754,-239.258,-194.824
1669629535.278,802.734,-825.195,-827.148,-846.680
1669629535.281,952.148,442.383,327.148,542.969
1669629535.285,-339.355,-909.180,-974.609,-825.195
1669629535.289,-1000.000,-1000.000,-1000.000,-1000.000
1669629535.293,-653.809,-235.840,-250.488,-229.004
1669629535.297,583.008,-890.137,-861.816,-920.410
1669629535.314,-910.156,681.152,542.480,773.438
1669629535.318,-103.516,-698.242,-825.195,-564.941
1669629535.322,-1000.000,-1000.000,-1000.000,-1000.000
1669629535.326,-795.898,-235.840,-208.984,-307.617
1669629535.330,361.816,-971.680,-982.422,972.168
1669629535.334,-847.168,918.945,966.797,993.652
1669629535.338,48.828,-354.980,-258.301,-228.516
1669629535.341,-1000.000,-1000.000,-1000.000,-1000.000
1669629535.345,-930.664,-363.281,-410.156,-483.887
1669629535.349,155.762,918.945,892.578,822.754
1669629535.353,-821.289,-926.270,-921.387,-889.648
1669629535.357,154.785,-52.246,-79.590,6.348
1669629535.359,-1000.000,-1000.000,-1000.000,-1000.000
1669629535.363,-1000.000,-572.266,-618.164,-698.730
1669629535.367,-8.789,766.602,748.535,616.211
1669629535.371,-818.359,-852.539,-864.258,-826.172
1669629535.375,258.301,134.277,-16.113,139.160
1669629535.379,-992.188,-1000.000,-1000.000,-1000.000
1669629535.383,-1000.000,-876.953,-777.832,-954.102
1669629535.386,-187.012,435.547,544.434,280.762
1669629535.390,-857.910,-792.480,-811.523,-785.645
1669629535.394,412.598,143.555,114.258,141.602
1669629535.398,-895.996,-1000.000,-1000.000,-1000.000
1669629535.402,-1000.000,-1000.000,-979.004,-1000.000
1669629535.404,-322.266,83.496,227.051,-30.762
1669629535.408,-958.008,-772.949,-781.250,-790.527
1669629535.412,660.156,154.785,166.016,222.168
1669629535.416,-683.105,-1000.000,-1000.000,-998.047
1669629535.420,-1000.000,-1000.000,-1000.000,-1000.000
1669629535.424,-468.750,-147.461,-193.848,-204.590
1669629535.428,874.023,-806.641,-821.289,-826.660
1669629535.431,867.676,353.027,295.410,402.344
1669629535.435,-463.867,-949.219,-983.398,-927.734
1669629535.439,-1000.000,-1000.000,-1000.000,-1000.000
1669629535.443,-618.652,-238.281,-252.441,-256.836
1669629535.447,647.949,-861.816,-839.355,-880.859
1669629535.449,-958.008,579.102,415.039,614.746
1669629535.453,-202.637,-810.547,-932.129,-757.324
1669629535.457,-1000.000,-1000.000,-1000.000,-1000.000
1669629535.461,-753.906,-212.402,-220.703,-354.004
1669629535.465,429.688,-934.082,-954.102,-1000.000
1669629535.469,-864.746,833.984,885.254,869.141
1669629535.473,-5.371,-485.840,-390.625,-461.914
1669629535.476,-1000.000,-1000.000,-1000.000,-1000.000
1669629535.480,-886.719,-297.852,-292.480,-544.434
1669629535.484,226.562,961.914,956.055,793.457
1669629535.488,-828.613,-966.309,-956.055,-919.434
1669629535.492,106.445,-145.996,-121.094,-169.434
1669629535.494,-1000.000,-1000.000,-1000.000,-1000.000
1669629535.498,-989.746,-479.980,-578.613,-781.250
1669629535.502,56.641,844.727,789.062,501.465
1669629535.506,-815.918,-881.348,-881.836,-817.383
1669629535.510,217.285,58.594,-57.617,29.297
