timestamps,TP9,AF7,AF8,TP10
1669629471.092,259.277,-239.746,-161.621,-19.043
1669629471.096,-993.164,-1000.000,-1000.000,-1000.000
1669629471.099,-1000.000,-443.359,-561.035,-275.391
1669629471.103,-109.863,866.211,791.016,955.078
1669629471.107,-876.953,-894.043,-897.461,-916.504
1669629471.111,402.832,24.902,-74.219,142.090
1669629471.115,-897.949,-1000.000,-1000.000,-1000.000
1669629471.119,-1000.000,-692.871,-677.734,-493.164
1669629471.123,-320.312,643.066,673.828,835.938
1669629471.126,-985.840,-827.148,-847.656,-872.559
1669629471.130,593.750,155.762,22.461,178.223
1669629471.134,-739.746,-1000.000,-1000.000,-1000.000
1669629471.138,-1000.000,-938.965,-828.613,-833.984
1669629471.142,-516.113,340.332,473.145,469.727
1669629471.158,798.340,-783.691,-804.688,-807.129
1669629471.162,787.598,140.137,106.445,186.523
1669629471.166,-548.340,-1000.000,-1000.000,-1000.000
1669629471.170,-1000.000,-1000.000,-1000.000,-994.629
1669629471.174,-659.668,15.625,58.105,198.730
1669629471.178,588.379,-778.809,-802.734,-787.109
1669629471.182,969.727,238.281,225.098,275.391
1669629471.185,-301.758,-985.352,-986.816,-974.121
1669629471.189,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.193,-743.652,-206.543,-242.188,-78.613
1669629471.197,419.922,-831.543,-830.078,-815.918
1669629471.201,-921.875,466.797,317.383,445.312
1669629471.203,-95.703,-895.996,-977.051,-878.418
1669629471.207,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.211,-831.055,-230.469,-256.836,-231.934
1669629471.215,254.883,-900.879,-876.465,-893.555
1669629471.219,-852.051,721.191,579.102,676.758
1669629471.223,96.680,-646.973,-778.809,-679.688
1669629471.227,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.230,-905.762,-232.422,-209.961,-374.512
1669629471.234,145.508,-991.211,-1000.000,986.816
1669629471.238,-839.355,969.238,985.352,865.234
1669629471.242,250.977,-257.812,-180.664,-479.004
1669629471.246,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.248,-995.117,-394.043,-521.484,-631.348
1669629471.252,11.230,896.973,814.453,695.312
1669629471.256,-863.770,-909.180,-906.250,-930.664
1669629471.260,403.320,2.441,-77.148,-225.586
1669629471.264,-900.391,-1000.000,-1000.000,-1000.000
1669629471.268,-1000.000,-647.949,-677.246,-851.562
1669629471.272,-170.410,690.918,678.711,372.559
1669629471.275,-938.965,-836.914,-852.051,-821.289
1669629471.279,593.262,146.484,-7.812,-9.277
1669629471.283,-706.055,-1000.000,-1000.000,-1000.000
1669629471.287,-1000.000,-918.457,-807.617,-1000.000
1669629471.291,-350.586,372.070,496.094,48.828
1669629471.293,957.031,-786.621,-809.082,-793.457
1669629471.297,792.969,143.066,104.004,117.676
