timestamps,TP9,AF7,AF8,TP10
1669629410.602,-715.820,-1000.000,-1000.000,-1000.000
1669629410.606,-1000.000,-863.770,-837.891,-868.652
1669629410.610,-356.445,491.211,486.328,491.211
1669629410.614,890.137,-807.617,-815.430,-813.477
1669629410.618,845.703,317.871,439.941,290.039
1669629410.622,-628.418,-985.840,-923.340,-990.234
1669629410.626,-1000.000,-980.469,-1000.000,-969.727
1669629410.629,-526.855,375.488,362.305,383.301
1669629410.633,792.969,-814.941,-823.730,-823.730
1669629410.637,940.918,610.352,605.957,617.188
1669629410.641,-526.367,-793.945,-784.668,-793.945
1669629410.645,-1000.000,-1000.000,-1000.000,-1000.000
1669629410.662,-674.805,188.477,110.352,245.605
1669629410.666,667.969,-860.352,-840.820,-866.211
1669629410.670,-966.309,760.254,667.480,762.695
1669629410.674,-357.910,-593.750,-732.910,-620.605
1669629410.678,-1000.000,-1000.000,-1000.000,-1000.000
1669629410.682,-804.688,-237.793,-73.242,-16.602
1669629410.686,531.250,-975.098,-915.527,-938.965
1669629410.689,-897.949,841.309,788.574,822.754
1669629410.693,-148.926,-558.105,-599.121,-557.617
1669629410.697,-1000.000,-1000.000,-1000.000,-1000.000
1669629410.701,-929.688,-585.938,-350.586,-456.055
1669629410.705,283.203,869.141,969.727,907.227
1669629410.707,-875.000,911.133,882.324,914.062
1669629410.711,127.930,-570.312,-538.574,-522.461
1669629410.715,-998.047,-1000.000,-1000.000,-1000.000
1669629410.719,-997.070,-761.230,-748.535,-703.613
1669629410.723,145.508,679.688,672.363,725.098
1669629410.727,-879.883,-954.590,-988.281,-977.051
1669629410.731,418.945,-418.945,-480.469,-422.852
1669629410.734,-856.445,-1000.000,-1000.000,-1000.000
1669629410.738,-1000.000,-835.449,-849.609,-791.016
1669629410.742,-166.016,539.551,566.406,590.332
1669629410.746,997.559,-852.051,-912.109,-866.211
1669629410.750,692.383,-159.180,-371.094,-135.742
1669629410.752,-734.375,-1000.000,-1000.000,-1000.000
1669629410.756,-1000.000,-837.891,-815.918,-849.121
1669629410.760,-343.262,508.301,482.910,509.766
1669629410.764,896.484,-811.523,-816.406,-818.359
1669629410.768,830.566,249.512,411.621,199.219
1669629410.772,-642.090,-1000.000,-958.496,-1000.000
1669629410.776,-1000.000,-951.172,-951.660,-949.219
1669629410.779,-538.574,405.762,459.473,395.020
1669629410.783,796.387,-812.988,-826.660,-811.523
1669629410.787,920.898,578.125,594.238,512.695
