timestamps,TP9,AF7,AF8,TP10
1669629579.671,-22.949,-573.730,-568.848,-574.707
1669629579.675,-1000.000,-1000.000,-1000.000,-1000.000
1669629579.679,-1000.000,-668.945,-447.266,-716.309
1669629579.683,-41.992,804.199,913.574,732.422
1669629579.687,-960.449,952.637,929.688,985.352
1669629579.691,160.156,-541.016,-497.070,-504.395
1669629579.695,-973.633,-1000.000,-1000.000,-1000.000
1669629579.698,-1000.000,-805.664,-833.984,-810.547
1669629579.702,-357.422,611.816,606.934,605.469
1669629579.706,926.270,-912.109,-957.031,-913.086
1669629579.710,416.016,-351.074,-462.402,-351.074
1669629579.714,-890.137,-1000.000,-1000.000,-1000.000
1669629579.715,-1000.000,-836.914,-836.426,-850.586
1669629579.719,-501.953,522.461,538.086,505.371
1669629579.723,862.793,-833.496,-865.234,-835.449
1669629579.727,675.293,-44.434,-150.879,-58.594
1669629579.731,-769.043,-1000.000,-1000.000,-1000.000
1669629579.735,-1000.000,-863.770,-834.961,-905.273
1669629579.739,-598.145,485.840,492.188,410.156
1669629579.742,793.457,-806.152,-816.895,-802.734
1669629579.746,840.820,336.914,497.559,340.332
1669629579.750,-668.945,-976.074,-915.039,-957.031
1669629579.754,-1000.000,-993.164,-982.422,-1000.000
1669629579.758,-710.449,358.398,431.152,279.297
1669629579.760,677.734,-814.941,-825.684,-830.566
1669629579.764,958.008,613.770,614.746,642.578
1669629579.768,-551.758,-788.574,-784.180,-771.484
1669629579.772,-1000.000,-1000.000,-1000.000,-1000.000
1669629579.776,-742.188,168.945,149.902,164.062
1669629579.780,600.586,-858.887,-838.867,-880.859
1669629579.784,-958.496,748.535,676.270,780.273
1669629579.787,-361.816,-606.934,-722.656,-598.633
1669629579.791,-1000.000,-1000.000,-1000.000,-1000.000
1669629579.795,-806.152,-271.484,-33.203,-147.461
1669629579.799,484.375,-986.328,-904.785,-960.449
1669629579.803,-899.902,846.680,794.434,835.938
1669629579.805,-72.266,-560.547,-590.820,-558.105
1669629579.809,-1000.000,-1000.000,-1000.000,-1000.000
1669629579.813,-893.555,-579.102,-275.879,-499.023
1669629579.817,335.938,879.883,-995.605,890.625
1669629579.821,-877.441,896.484,861.328,914.551
1669629579.825,261.230,-589.355,-543.945,-536.133
1669629579.829,-945.312,-1000.000,-1000.000,-1000.000
1669629579.832,-989.258,-764.648,-667.480,-716.797
1669629579.836,162.598,695.312,750.000,710.449
1669629579.840,-905.273,-990.234,989.746,-964.844
1669629579.844,495.605,-488.281,-484.375,-406.738
1669629579.848,-835.449,-1000.000,-1000.000,-1000.000
1669629579.850,-1000.000,-831.543,-846.191,-804.199
1669629579.854,19.043,566.406,582.031,580.566
1669629579.858,-955.078,-881.348,-929.688,-866.211
1669629579.862,677.734,-287.598,-412.598,-161.621
1669629579.866,-730.957,-1000.000,-1000.000,-1000.000
1669629579.870,-1000.000,-833.496,-826.660,-848.633
1669629579.874,-183.105,515.137,508.789,504.883
1669629579.877,948.730,-821.289,-832.520,-817.871
1669629579.881,813.965,75.684,115.723,194.336
1669629579.885,-639.160,-1000.000,-1000.000,-1000.000
1669629579.889,-1000.000,-888.184,-868.164,-929.199
1669629579.893,-361.328,463.379,506.836,431.152
1669629579.895,860.352,-808.105,-823.242,-813.477
1669629579.899,907.227,485.840,566.406,521.973
1669629579.903,-543.457,-903.320,-856.934,-855.957
1669629579.907,-1000.000,-1000.000,-1000.000,-1000.000
1669629579.911,-530.762,339.844,344.238,233.887
1669629579.915,759.766,-827.148,-825.684,-854.492
1669629579.919,986.816,666.992,633.789,710.449
1669629579.922,-424.805,-733.398,-768.555,-678.223
1669629579.926,-1000.000,-1000.000,-1000.000,-1000.000
1669629579.930,-693.848,124.512,123.535,-56.152
1669629579.934,619.629,-876.953,-851.074,-934.082
1669629579.938,-935.547,787.109,714.355,814.941
1669629579.940,-215.820,-570.801,-685.059,-574.707
1669629579.944,-1000.000,-1000.000,-1000.000,-1000.000
1669629579.948,-825.684,-270.508,-41.504,-388.672
1669629579.952,471.191,-986.328,-912.598,951.660
1669629579.956,-884.766,846.191,806.152,869.629
1669629579.960,37.598,-560.547,-571.289,-571.777
1669629579.964,-1000.000,-1000.000,-1000.000,-1000.000
1669629579.967,-934.082,-601.074,-338.867,-649.414
1669629579.971,261.230,858.398,974.609,787.109
1669629579.975,-889.160,919.434,884.766,964.355
1669629579.979,284.668,-562.012,-528.809,-512.207
1669629579.983,-925.781,-1000.000,-1000.000,-1000.000
1669629579.985,-1000.000,-748.535,-720.703,-790.039
1669629579.989,28.809,690.918,701.660,627.930
1669629579.993,-937.500,-952.148,-990.723,-919.922
1669629579.997,527.344,-408.203,-472.656,-353.027
1669629580.001,-812.988,-1000.000,-1000.000,-1000.000
1669629580.005,-1000.000,-831.543,-840.820,-829.590
1669629580.009,-174.805,548.340,564.453,538.574
1669629580.012,977.539,-856.445,-895.508,-842.285
1669629580.016,714.355,-175.781,-311.523,-75.195
1669629580.020,-717.773,-1000.000,-1000.000,-1000.000
1669629580.024,-1000.000,-837.402,-821.289,-889.160
1669629580.028,-348.145,511.719,492.188,437.012
1669629580.045,885.742,-813.965,-818.848,-806.152
1669629580.049,846.191,207.031,372.559,330.078
1669629580.053,-627.441,-1000.000,-989.258,-969.727
1669629580.057,-1000.000,-919.922,-909.180,-994.629
1669629580.061,-498.535,448.242,521.973,338.379
1669629580.065,798.340,-810.547,-827.637,-821.289
1669629580.069,937.988,537.598,567.871,602.539
1669629580.072,-523.438,-856.445,-821.777,-790.527
1669629580.076,-1000.000,-1000.000,-1000.000,-1000.000
1669629580.080,-662.598,256.836,192.383,133.789
1669629580.084,665.527,-834.961,-829.590,-876.465
1669629580.088,-972.168,692.871,642.578,747.559
1669629580.090,-367.188,-681.152,-757.812,-623.535
1669629580.094,-1000.000,-1000.000,-1000.000,-1000.000
1669629580.098,-773.926,-92.285,13.672,-283.691
1669629580.102,534.668,-929.688,-886.230,993.164
1669629580.106,-914.062,818.848,765.137,847.168
1669629580.110,-153.809,-559.082,-624.023,-573.730
1669629580.114,-1000.000,-1000.000,-1000.000,-1000.000
1669629580.117,-889.648,-446.777,-215.332,-621.582
1669629580.121,348.145,945.801,-965.820,823.730
1669629580.125,-882.812,873.047,828.125,914.551
1669629580.129,121.094,-574.707,-575.195,-583.008
1669629580.133,-996.094,-1000.000,-1000.000,-1000.000
1669629580.135,-980.469,-690.430,-530.762,-767.090
1669629580.139,141.113,778.320,857.422,682.617
1669629580.143,-903.809,974.609,947.754,-991.211
1669629580.147,403.320,-513.672,-498.535,-484.863
1669629580.151,-873.535,-1000.000,-1000.000,-1000.000
1669629580.155,-1000.000,-812.500,-847.168,-821.289
1669629580.159,-57.617,598.145,592.773,573.242
1669629580.162,-971.191,-900.879,-950.684,-881.836
1669629580.166,624.023,-327.637,-456.543,-254.395
1669629580.170,-764.648,-1000.000,-1000.000,-1000.000
1669629580.174,-1000.000,-835.938,-837.891,-860.840
1669629580.178,-259.766,520.020,529.785,484.863
1669629580.180,931.152,-829.590,-858.887,-821.777
1669629580.184,780.762,-7.324,-113.770,60.059
1669629580.188,-676.758,-1000.000,-1000.000,-1000.000
1669629580.192,-1000.000,-869.629,-845.703,-931.641
1669629580.196,-427.246,481.445,498.535,399.902
1669629580.200,844.727,-806.152,-819.824,-805.176
1669629580.204,888.672,378.906,407.715,335.938
1669629580.207,-585.449,-958.008,-927.734,-937.012
1669629580.211,-1000.000,-1000.000,-1000.000,-1000.000
1669629580.215,-562.988,356.445,359.375,195.312
1669629580.219,751.465,-816.895,-822.266,-843.262
1669629580.223,970.703,621.094,619.141,672.363
1669629580.225,-477.539,-784.668,-780.273,-717.773
1669629580.229,-1000.000,-1000.000,-1000.000,-1000.000
1669629580.233,-715.332,181.152,136.719,-85.449
1669629580.237,611.328,-861.328,-840.820,-937.012
1669629580.241,-949.707,759.766,684.570,804.199
1669629580.245,-308.105,-589.844,-716.797,-596.680
1669629580.249,-1000.000,-1000.000,-1000.000,-1000.000
1669629580.252,-867.676,-286.621,-33.691,-372.070
1669629580.256,400.879,-992.188,-906.250,955.566
1669629580.260,-892.578,849.121,794.922,866.211
1669629580.264,-37.109,-562.012,-587.402,-572.754
1669629580.268,-1000.000,-1000.000,-1000.000,-1000.000
1669629580.270,-950.684,-575.684,-300.293,-655.762
1669629580.274,211.914,879.395,992.676,788.574
1669629580.278,-892.090,900.879,869.629,948.730
1669629580.282,224.121,-581.543,-538.086,-542.480
1669629580.286,-947.754,-1000.000,-1000.000,-1000.000
1669629580.290,-1000.000,-757.812,-689.941,-791.992
1669629580.294,-31.738,694.336,730.957,637.695
