timestamps,TP9,AF7,AF8,TP10
1669629662.696,-852.539,-1000.000,-1000.000,-1000.000
1669629662.700,-1000.000,-841.797,-843.750,-810.547
1669629662.704,-292.480,530.762,551.758,578.125
1669629662.708,916.016,-848.633,-884.766,-873.047
1669629662.712,672.363,-153.809,-271.484,-208.008
1669629662.716,-750.000,-1000.000,-1000.000,-1000.000
1669629662.720,-1000.000,-853.027,-821.777,-852.539
1669629662.723,-396.484,483.887,489.746,496.094
1669629662.727,849.609,-806.641,-812.012,-817.383
1669629662.731,826.172,264.160,432.129,135.742
1669629662.735,-641.602,-1000.000,-953.125,-1000.000
1669629662.739,-1000.000,-971.680,-958.984,-943.848
1669629662.741,-529.785,371.094,449.219,380.371
1669629662.745,744.629,-810.547,-824.219,-809.082
1669629662.749,949.219,593.750,606.934,511.719
1669629662.753,-485.352,-802.734,-788.086,-861.328
1669629662.757,-1000.000,-1000.000,-1000.000,-1000.000
1669629662.761,-668.457,154.297,144.531,215.820
1669629662.765,612.305,-855.957,-834.473,-858.398
1669629662.768,-974.121,735.840,659.180,720.215
1669629662.772,-311.035,-626.953,-741.211,-673.340
1669629662.776,-1000.000,-1000.000,-1000.000,-1000.000
1669629662.780,-806.152,-251.465,-25.879,-31.250
1669629662.784,427.246,-978.027,-899.902,-927.246
1669629662.786,-928.223,852.051,791.992,824.707
1669629662.790,-100.098,-568.848,-607.910,-575.195
1669629662.794,-1000.000,-1000.000,-1000.000,-1000.000
1669629662.798,-785.645,-399.414,-127.930,-209.961
1669629662.802,258.789,946.777,-937.988,-981.445
1669629662.806,-958.984,866.211,838.379,846.680
1669629662.810,146.973,-575.195,-531.250,-545.898
1669629662.813,-972.656,-1000.000,-1000.000,-1000.000
1669629662.817,-994.141,-771.973,-723.633,-651.855
1669629662.821,-25.879,682.617,699.219,773.438
1669629662.825,-978.027,-979.004,-998.047,989.746
1669629662.829,412.109,-473.145,-487.305,-466.309
1669629662.831,-867.676,-1000.000,-1000.000,-1000.000
1669629662.835,-1000.000,-838.867,-847.168,-777.344
1669629662.839,-181.641,546.387,573.730,620.605
1669629662.843,960.449,-866.211,-918.457,-889.160
1669629662.847,618.652,-233.887,-387.695,-239.746
1669629662.851,-771.973,-1000.000,-1000.000,-1000.000
1669629662.855,-1000.000,-834.961,-817.383,-821.289
1669629662.858,-330.566,512.695,494.141,534.668
1669629662.862,882.812,-811.035,-812.988,-821.289
1669629662.866,791.016,130.859,304.199,127.441
1669629662.870,-663.086,-1000.000,-1000.000,-1000.000
1669629662.874,-1000.000,-825.684,-806.152,-794.434
1669629662.891,-456.055,451.172,538.574,511.719
1669629662.895,786.133,-821.289,-836.914,-833.008
1669629662.899,925.293,530.273,581.543,499.512
1669629662.903,-519.531,-866.211,-832.031,-900.391
1669629662.907,-1000.000,-1000.000,-1000.000,-1000.000
1669629662.911,-599.609,244.141,214.355,379.395
1669629662.915,676.758,-832.520,-828.125,-837.891
1669629662.918,-998.535,686.035,641.602,684.082
1669629662.922,-371.582,-680.664,-754.395,-705.078
1669629662.926,-1000.000,-1000.000,-1000.000,-1000.000
1669629662.930,-744.141,-150.391,-0.488,66.895
1669629662.934,498.535,-943.359,-888.184,-901.855
1669629662.936,-946.777,819.824,761.719,791.992
1669629662.940,-170.410,-562.988,-622.559,-579.590
1669629662.944,-1000.000,-1000.000,-1000.000,-1000.000
1669629662.948,-883.301,-544.922,-278.320,-345.215
1669629662.952,271.973,900.391,-988.281,968.750
1669629662.956,-933.105,890.137,841.797,862.305
1669629662.960,71.777,-585.449,-576.172,-570.801
1669629662.963,-988.281,-1000.000,-1000.000,-1000.000
1669629662.967,-983.887,-755.371,-638.184,-613.770
1669629662.971,22.461,721.191,774.902,817.871
1669629662.975,-962.891,978.516,964.844,942.871
1669629662.979,337.891,-538.086,-515.625,-535.156
1669629662.981,-899.414,-1000.000,-1000.000,-1000.000
1669629662.985,-1000.000,-836.914,-852.051,-781.738
1669629662.989,-133.301,571.289,585.938,639.648
1669629662.993,978.516,-900.391,-949.219,-929.199
1669629662.997,545.898,-341.797,-457.031,-368.652
1669629663.001,-807.617,-1000.000,-1000.000,-1000.000
1669629663.005,-1000.000,-835.938,-839.844,-833.496
1669629663.008,-306.641,520.508,531.250,537.109
1669629663.012,901.855,-829.102,-860.840,-846.191
1669629663.016,738.770,-23.438,-136.230,-105.957
1669629663.020,-704.590,-1000.000,-1000.000,-1000.000
1669629663.024,-1000.000,-898.926,-848.633,-886.230
1669629663.027,-437.988,424.805,470.215,439.453
1669629663.031,817.871,-797.852,-807.617,-804.199
