timestamps,TP9,AF7,AF8,TP10
1669629621.446,-212.402,549.316,569.824,569.824
1669629621.450,945.801,-860.352,-921.387,-862.305
1669629621.454,730.957,-198.242,-397.949,-147.949
1669629621.458,-708.008,-1000.000,-1000.000,-1000.000
1669629621.462,-1000.000,-837.402,-823.242,-859.863
1669629621.466,-367.676,511.230,496.094,483.887
1669629621.470,859.863,-814.453,-825.195,-813.965
1669629621.473,862.305,175.293,235.352,242.676
1669629621.477,-597.656,-1000.000,-1000.000,-1000.000
1669629621.481,-1000.000,-932.129,-906.738,-937.012
1669629621.485,-536.621,416.504,479.980,431.641
1669629621.489,754.395,-807.129,-820.801,-820.801
1669629621.521,963.867,527.832,562.500,579.102
1669629621.525,-475.098,-870.605,-828.613,-829.102
1669629621.529,-1000.000,-1000.000,-1000.000,-1000.000
1669629621.533,-633.789,296.875,194.824,301.270
1669629621.537,651.855,-832.520,-831.055,-854.980
1669629621.541,-968.262,695.312,645.020,736.816
1669629621.545,-297.363,-688.477,-760.254,-650.879
1669629621.548,-1000.000,-1000.000,-1000.000,-1000.000
1669629621.552,-772.949,7.812,42.969,19.043
1669629621.556,484.863,-903.320,-878.418,-916.504
1669629621.560,-919.434,805.176,757.812,813.965
1669629621.564,-65.918,-555.176,-630.371,-562.988
1669629621.551,-1000.000,-1000.000,-1000.000,-1000.000
1669629621.555,-896.973,-420.410,-184.082,-338.379
1669629621.559,283.691,957.520,-956.543,968.750
1669629621.563,-908.691,868.164,825.684,872.070
1669629621.567,186.035,-572.754,-573.242,-553.223
1669629621.571,-961.914,-1000.000,-1000.000,-1000.000
1669629621.575,-985.840,-680.664,-503.418,-607.910
1669629621.578,83.984,793.457,874.023,807.129
1669629621.582,-934.082,955.078,933.594,977.539
1669629621.586,439.453,-541.504,-512.207,-467.773
1669629621.590,-854.980,-1000.000,-1000.000,-1000.000
1669629621.594,-1000.000,-801.270,-833.496,-757.812
1669629621.596,-119.141,620.605,606.934,646.973
1669629621.600,990.234,-919.922,-960.449,-904.785
1669629621.604,629.395,-366.211,-468.750,-270.996
1669629621.608,-766.602,-1000.000,-1000.000,-1000.000
1669629621.612,-1000.000,-838.379,-842.285,-823.730
1669629621.616,-288.086,524.902,541.992,541.992
1669629621.620,907.227,-838.379,-874.023,-834.961
1669629621.623,788.086,-76.172,-208.496,33.691
1669629621.627,-673.828,-1000.000,-1000.000,-1000.000
1669629621.631,-1000.000,-859.375,-831.055,-887.695
1669629621.635,-388.672,485.352,488.281,465.820
1669629621.639,844.727,-807.129,-817.383,-812.012
1669629621.641,898.438,331.543,461.914,412.598
1669629621.645,-552.734,-985.352,-928.223,-942.383
1669629621.649,-1000.000,-982.910,-987.793,-997.070
1669629621.653,-545.898,403.809,435.547,407.227
1669629621.657,726.074,-815.918,-824.707,-832.031
1669629621.661,820.801,417.480,413.086,471.680
1669629621.665,-467.773,-867.676,-857.910,-817.871
1669629621.668,-1000.000,-1000.000,-1000.000,-1000.000
1669629621.672,-711.426,180.176,111.328,177.734
1669629621.676,600.098,-851.562,-833.008,-872.559
1669629621.680,-943.848,752.441,665.527,777.832
1669629621.684,-216.309,-607.422,-735.352,-596.680
1669629621.686,-1000.000,-1000.000,-1000.000,-1000.000
1669629621.690,-843.750,-199.707,-44.434,-150.879
1669629621.694,392.578,-962.402,-903.809,-963.379
1669629621.698,-909.668,836.426,781.250,835.938
1669629621.702,24.414,-555.664,-605.469,-557.617
1669629621.706,-1000.000,-1000.000,-1000.000,-1000.000
1669629621.710,-953.125,-555.664,-305.664,-528.320
1669629621.713,167.969,886.719,989.746,869.141
1669629621.717,-947.754,793.945,760.742,816.406
1669629621.721,246.094,-621.094,-591.797,-583.008
1669629621.725,-926.758,-1000.000,-1000.000,-1000.000
1669629621.729,-1000.000,-756.348,-707.031,-734.863
1669629621.730,-40.527,710.938,721.191,707.031
1669629621.734,-971.191,-985.352,992.676,-975.098
1669629621.738,512.207,-471.191,-491.699,-433.594
1669629621.742,-823.730,-1000.000,-1000.000,-1000.000
1669629621.746,-1000.000,-825.684,-849.609,-806.152
1669629621.750,-226.562,573.730,582.520,579.102
1669629621.754,946.289,-882.324,-936.523,-868.652
1669629621.757,687.500,-284.180,-430.176,-173.828
1669629621.761,-737.305,-1000.000,-1000.000,-1000.000
1669629621.765,-1000.000,-833.496,-831.055,-851.074
1669629621.769,-384.277,514.160,514.160,505.371
1669629621.773,867.188,-820.801,-842.285,-819.824
1669629621.776,832.031,85.938,41.016,152.832
1669629621.780,-642.578,-1000.000,-1000.000,-1000.000
1669629621.784,-1000.000,-895.996,-861.328,-933.105
1669629621.788,-512.695,456.543,499.023,411.133
1669629621.792,778.320,-806.152,-819.824,-811.035
1669629621.796,933.105,456.543,537.109,499.512
1669629621.800,-534.180,-911.133,-846.191,-872.070
1669629621.803,-1000.000,-1000.000,-1000.000,-1000.000
1669629621.807,-641.602,310.547,220.703,252.441
1669629621.811,661.133,-826.660,-828.613,-848.145
1669629621.815,-989.258,670.898,634.766,692.871
1669629621.819,-390.137,-725.586,-772.461,-697.754
1669629621.836,-1000.000,-1000.000,-1000.000,-1000.000
1669629621.840,-824.707,87.402,78.613,-26.855
1669629621.844,440.430,-885.254,-861.328,-927.246
1669629621.848,-930.664,789.551,722.168,809.082
1669629621.852,-190.918,-562.012,-672.852,-581.055
1669629621.856,-1000.000,-1000.000,-1000.000,-1000.000
1669629621.860,-917.969,-374.512,-129.395,-348.633
1669629621.863,237.305,977.051,-937.988,962.891
1669629621.867,-916.016,861.816,812.500,862.793
1669629621.871,64.453,-568.359,-577.148,-571.777
1669629621.875,-1000.000,-1000.000,-1000.000,-1000.000
1669629621.879,-995.605,-630.371,-430.664,-654.785
1669629621.880,-12.207,836.914,931.152,782.715
1669629621.884,-958.008,929.199,898.438,958.008
1669629621.888,319.336,-560.059,-540.527,-525.879
1669629621.892,-910.156,-1000.000,-1000.000,-1000.000
1669629621.896,-1000.000,-778.320,-791.992,-787.109
1669629621.900,-222.168,657.227,639.160,635.742
1669629621.904,962.402,-944.336,-976.074,-930.176
1669629621.907,533.203,-408.203,-477.539,-373.535
1669629621.911,-820.801,-1000.000,-1000.000,-1000.000
1669629621.915,-1000.000,-837.891,-846.191,-832.031
1669629621.919,-372.559,535.645,555.664,535.645
1669629621.923,890.625,-850.098,-892.578,-846.191
1669629621.940,722.168,-150.879,-303.711,-98.633
1669629621.944,-729.004,-1000.000,-1000.000,-1000.000
1669629621.948,-1000.000,-843.750,-822.754,-889.160
1669629621.952,-502.441,503.906,486.816,437.988
1669629621.956,810.547,-805.176,-812.012,-801.758
1669629621.960,860.840,225.098,393.066,270.996
1669629621.964,-627.930,-1000.000,-961.914,-988.281
1669629621.967,-1000.000,-850.098,-850.098,-894.043
1669629621.971,-632.812,436.523,492.188,364.258
1669629621.975,693.848,-825.684,-839.844,-834.473
1669629621.979,965.820,566.406,581.055,596.680
1669629621.983,-510.254,-842.285,-814.453,-801.270
1669629621.970,-1000.000,-1000.000,-1000.000,-1000.000
1669629621.974,-745.605,237.305,149.414,123.535
1669629621.978,554.199,-844.727,-834.473,-881.836
1669629621.982,-951.660,724.121,652.344,754.395
1669629621.986,-306.641,-648.438,-753.418,-634.766
1669629621.990,-1000.000,-1000.000,-1000.000,-1000.000
1669629621.994,-854.980,-97.168,9.277,-167.969
1669629621.997,369.141,-932.617,-888.672,-970.703
1669629622.001,-922.852,823.242,768.555,835.449
1669629622.005,-90.820,-554.199,-622.559,-569.336
1669629622.009,-1000.000,-1000.000,-1000.000,-1000.000
1669629622.013,-945.801,-459.961,-202.148,-467.285
1669629622.015,158.691,939.453,-966.797,906.738
1669629622.019,-919.922,875.000,835.938,900.879
1669629622.023,205.566,-576.660,-560.547,-549.805
1669629622.027,-954.102,-1000.000,-1000.000,-1000.000
1669629622.031,-1000.000,-707.031,-579.102,-667.480
1669629622.035,-25.391,758.789,815.918,753.906
1669629622.039,-965.332,987.793,960.449,-988.770
1669629622.042,431.641,-499.023,-496.582,-429.688
1669629622.046,-851.562,-1000.000,-1000.000,-1000.000
1669629622.050,-1000.000,-814.941,-849.121,-796.387
1669629622.054,-287.598,590.820,588.379,607.422
1669629622.058,930.664,-892.578,-946.289,-891.113
1669629622.061,592.285,-307.617,-449.707,-264.648
1669629622.065,-789.062,-1000.000,-1000.000,-1000.000
1669629622.069,-1000.000,-836.914,-840.820,-864.746
1669629622.073,-519.531,520.996,530.273,486.816
1669629622.077,823.730,-828.125,-862.305,-826.172
1669629622.081,768.555,-5.859,-136.230,1.953
1669629622.085,-711.914,-1000.000,-1000.000,-1000.000
1669629622.088,-1000.000,-893.555,-842.773,-943.848
1669629622.092,-629.883,438.477,482.422,345.703
1669629622.096,732.422,-801.758,-816.895,-800.293
1669629622.100,910.645,398.438,498.047,377.441
1669629622.104,-599.609,-946.777,-878.906,-928.711
1669629622.136,-1000.000,-1000.000,-1000.000,-1000.000
1669629622.140,-677.246,337.891,286.133,190.918
1669629622.144,638.184,-821.289,-824.219,-844.238
1669629622.148,-989.746,644.043,624.023,664.551
1669629622.152,-405.273,-753.418,-776.367,-735.840
1669629622.156,-1000.000,-1000.000,-1000.000,-1000.000
1669629622.160,-761.719,116.699,105.957,9.277
1669629622.163,509.766,-876.953,-845.703,-925.781
1669629622.167,-847.168,852.051,748.535,870.117
1669629622.171,-367.676,-828.613,-940.918,-845.703
1669629622.175,-229.004,-201.172,-187.988,-198.730
1669629622.179,864.746,357.422,334.473,370.605
1669629622.165,-481.445,-1000.000,-1000.000,-1000.000
1669629622.169,-1000.000,-1000.000,-958.984,-1000.000
1669629622.173,-443.359,124.512,341.797,236.328
1669629622.177,792.969,-772.461,-785.156,-786.133
1669629622.181,938.965,160.645,174.316,254.883
1669629622.185,-283.203,-1000.000,-1000.000,-992.188
1669629622.189,-1000.000,-1000.000,-1000.000,-1000.000
1669629622.192,-555.176,-120.117,-102.539,-10.742
1669629622.196,667.480,-801.758,-812.988,-807.617
1669629622.200,-951.660,354.980,291.992,446.289
1669629622.204,-99.121,-944.824,-976.074,-879.883
1669629622.208,-1000.000,-1000.000,-1000.000,-1000.000
1669629622.226,-714.355,-240.234,-250.000,-165.039
1669629622.230,435.059,-862.793,-840.332,-876.465
1669629622.234,-881.836,577.148,420.898,669.922
1669629622.238,26.367,-836.426,-950.684,-710.938
1669629622.242,-1000.000,-1000.000,-1000.000,-1000.000
1669629622.246,-784.668,-139.160,-139.160,-138.184
1669629622.250,279.785,-941.895,-952.148,-963.867
1669629622.253,-851.074,812.500,832.031,873.047
1669629622.257,165.039,-518.066,-458.496,-418.945
1669629622.261,-1000.000,-1000.000,-1000.000,-1000.000
1669629622.265,-934.082,-309.570,-264.160,-320.312
1669629622.269,106.934,959.961,967.773,942.871
1669629622.270,-850.098,-973.145,-968.262,-953.125
1669629622.274,308.105,-168.457,-122.070,-102.051
1669629622.278,-969.238,-1000.000,-1000.000,-1000.000
1669629622.282,-1000.000,-480.957,-556.152,-490.723
1669629622.286,-66.895,842.285,800.293,808.105
1669629622.290,-886.719,-883.789,-885.742,-875.977
1669629622.294,445.312,38.574,-55.176,92.285
