timestamps,TP9,AF7,AF8,TP10
1669195274.740,-1000.000,-745.605,-635.254,-536.133
1669195274.744,-114.258,687.012,759.277,-108.398
1669195274.748,-918.457,-939.941,994.629,503.418
1669195274.752,756.836,-376.465,-462.402,423.340
1669195274.756,-638.184,-1000.000,-1000.000,-314.453
1669195274.760,-1000.000,-826.172,-845.703,-542.969
1669195274.764,-450.195,553.223,579.102,-166.016
1669195274.768,939.941,-854.492,-923.828,436.523
1669195274.772,868.652,-145.508,-390.625,465.820
1669195274.775,-583.496,-1000.000,-1000.000,-265.137
1669195274.779,-1000.000,-838.379,-816.895,-557.617
1669195274.783,-678.223,511.230,499.512,-229.492
1669195274.787,802.734,-814.453,-832.520,357.910
1669195274.791,916.992,269.531,353.027,525.391
1669195274.792,-599.121,-1000.000,-979.492,-153.320
1669195274.796,-1000.000,-925.293,-910.645,-556.641
1669195274.800,-799.805,479.492,536.621,-286.133
1669195274.804,653.809,-817.871,-836.426,274.414
1669195274.808,900.391,429.688,500.488,501.465
1669195274.812,-555.664,-905.762,-867.676,-87.891
1669195274.816,-1000.000,-1000.000,-1000.000,-557.617
1669195274.819,-854.980,322.754,357.422,-363.770
1669195274.823,562.988,-833.984,-825.684,219.238
1669195274.827,-900.879,705.078,637.695,581.055
1669195274.831,-345.703,-686.523,-760.742,46.387
1669195274.835,-1000.000,-1000.000,-1000.000,-510.742
1669195274.836,-851.074,87.402,104.492,-395.508
1669195274.840,505.859,-886.230,-852.539,138.184
1669195274.844,-834.473,798.340,707.520,583.984
1669195274.848,-67.871,-564.453,-693.359,149.414
1669195274.852,-1000.000,-1000.000,-1000.000,-477.539
1669195274.856,-918.457,-276.367,-45.410,-432.617
1669195274.860,385.254,-988.281,-907.227,80.566
1669195274.863,-797.363,848.145,793.945,580.566
1669195274.867,311.523,-561.523,-593.262,225.098
1669195274.871,-957.031,-1000.000,-1000.000,-455.078
1669195274.875,-1000.000,-560.547,-279.785,-489.258
1669195274.879,198.730,875.000,990.234,-20.508
1669195274.896,-815.918,927.734,900.879,548.340
1669195274.900,574.707,-532.715,-486.328,330.078
1669195274.904,-794.922,-1000.000,-1000.000,-395.996
1669195274.908,-1000.000,-733.887,-634.766,-519.043
1669195274.912,-71.289,702.148,759.277,-80.566
1669195274.916,-905.762,-948.242,994.629,518.555
1669195274.920,746.094,-388.184,-463.379,409.180
1669195274.923,-644.043,-1000.000,-1000.000,-339.355
1669195274.927,-1000.000,-822.266,-848.633,-541.992
1669195274.931,-403.809,566.895,583.496,-144.531
1669195274.935,955.566,-860.352,-936.035,452.637
1669195274.939,761.230,-213.867,-425.781,438.965
1669195274.926,-615.723,-1000.000,-1000.000,-261.230
1669195274.930,-1000.000,-831.055,-822.266,-550.781
1669195274.934,-672.852,508.789,507.812,-223.145
1669195274.938,815.430,-813.965,-841.309,375.000
1669195274.942,914.062,212.891,206.055,497.070
1669195274.946,-597.656,-1000.000,-1000.000,-198.242
1669195274.950,-1000.000,-911.621,-883.301,-572.754
1669195274.953,-793.457,467.773,520.020,-290.039
1669195274.957,670.898,-816.406,-831.055,287.109
1669195274.961,993.164,541.016,599.121,529.297
1669195274.965,-527.832,-870.117,-832.520,-81.543
1669195274.969,-1000.000,-1000.000,-1000.000,-547.852
1669195274.971,-844.727,356.445,354.980,-349.609
1669195274.975,567.383,-835.938,-827.637,217.285
1669195274.979,-908.203,697.266,636.230,580.566
1669195274.983,-360.840,-699.219,-763.184,49.316
1669195274.987,-1000.000,-1000.000,-1000.000,-500.000
1669195274.991,-850.098,119.141,107.910,-372.559
1669195274.995,508.789,-880.371,-848.633,159.180
1669195274.998,-836.914,794.922,692.383,581.543
