,Accuracy,Precision,Recall
Logistic Regression,1.0,1.0,1.0
Support Vector Machines,1.0,1.0,1.0
Decision Trees,0.9333333333333333,0.9333333333333333,0.9333333333333333
Random Forest,1.0,1.0,1.0
Naive Bayes,1.0,1.0,1.0
K-Nearest Neighbor,1.0,1.0,1.0
